x states switches
1 2 0
2 1 0
3 1 0
4 4 0
5 2 0
6 2 0
7 1 0
8 2 1
9 1 0
10 4 0
11 3 0
12 2 0
13 5 0
14 3 0
15 2 0
16 2 0
17 2 0
18 2 0
19 2 0
20 5 0
21 2 0
22 2 0
23 2 0
24 1 0
25 2 0
26 2 0
27 3 0
28 1 0
29 2 0
30 3 0
31 2 0
32 3 0
33 1 0
34 2 0
35 1 0
36 2 0
37 2 0
38 2 0
39 3 0
40 2 0
41 3 0
42 1 0
43 1 0
44 3 0
45 2 0
46 2 0
47 3 0
48 2 0
49 1 0
50 2 0
51 2 0
52 1 0
53 2 0
54 3 0
55 3 0
56 2 0
57 2 0
58 2 0
59 3 0
60 2 0
61 5 0
62 1 0
63 3 0
64 2 0
65 2 0
66 2 0
67 1 0
68 3 0
69 3 0
70 3 0
71 2 0
72 5 0
73 2 0
74 2 0
75 1 0
76 2 0
77 1 0
78 1 0
79 1 0
80 2 0
81 2 0
82 2 0
83 2 0
84 2 0
85 1 0
86 1 0
87 2 0
88 4 0
89 2 0
90 2 0
91 3 0
92 1 0
93 2 0
94 3 0
95 3 0
96 1 0
97 3 0
98 3 0
99 2 0
100 2 0
101 3 0
102 2 0
103 3 0
104 3 0
105 3 0
106 1 0
107 3 0
108 1 0
109 3 0
110 1 0
111 3 0
112 3 0
113 1 0
114 1 0
115 2 0
116 2 0
117 2 0
118 2 0
119 2 0
120 5 0
121 2 0
122 2 0
123 2 0
124 5 0
125 4 0
126 2 0
127 3 0
128 2 0
129 2 0
130 1 0
131 5 0
132 3 0
133 2 0
134 1 1
135 4 0
136 5 0
137 1 0
138 5 0
139 2 0
140 5 0
141 5 0
142 5 0
143 2 0
144 2 0
145 4 0
146 4 0
147 5 0
148 5 0
149 2 0
150 2 0
151 4 0
152 5 0
153 4 0
154 2 0
155 2 0
156 1 0
157 2 0
158 4 0
159 4 0
160 4 0
161 2 0
162 5 0
163 2 0
164 2 0
165 4 0
166 4 0
167 5 0
168 1 0
169 1 1
170 1 0
171 3 0
172 1 0
173 3 0
174 1 0
175 5 0
176 5 0
177 3 0
178 3 0
179 5 0
180 3 0
181 3 0
182 1 0
183 1 0
184 3 0
185 5 0
186 3 0
187 1 0
188 3 0
189 1 0
190 2 0
191 3 0
192 3 0
193 1 0
194 1 0
195 5 0
196 4 0
197 3 0
198 3 0
199 3 0
200 1 0
201 1 0
202 3 0
203 1 0
204 1 0
205 1 0
206 3 0
207 3 0
208 2 0
209 1 0
210 5 0
211 1 0
212 4 0
213 3 0
214 1 0
215 2 0
216 3 0
217 3 0
218 4 0
219 3 0
220 5 0
221 1 0
222 1 0
223 3 0
224 5 0
225 4 0
226 3 0
227 1 0
228 1 0
229 5 0
230 1 0
231 3 0
232 3 0
233 4 0
234 3 0
235 3 0
236 2 0
