x truemean samples switches
1 1.1915557734285787 1.3990367509827761 0
2 1.1915557734285787 1.0942307614225488 0
3 1.1915557734285787 1.1813950940226843 0
4 1.1915557734285787 1.0373044536462974 0
5 1.1915557734285787 1.201635062564059 0
6 1.1915557734285787 1.1913583597546684 0
7 1.1915557734285787 1.2924347471705935 0
8 1.1915557734285787 1.2759780478239129 0
9 1.1915557734285787 1.3073632360947813 0
10 1.1915557734285787 1.1440398950664659 0
11 1.1915557734285787 1.167094621319009 0
12 1.1915557734285787 1.1987430427273247 0
13 1.1915557734285787 1.1402747400606257 0
14 1.1915557734285787 1.0335319201564483 0
15 1.1915557734285787 1.2427216562353218 0
16 1.1915557734285787 1.1208285165054481 0
17 1.1915557734285787 1.0749460396528707 0
18 1.1915557734285787 1.148316499784287 0
19 1.1915557734285787 1.1206600675805851 0
20 1.1915557734285787 1.1707135504659298 0
21 1.1915557734285787 1.1169525101504403 0
22 1.1915557734285787 1.226983371335885 0
23 1.1915557734285787 1.1595187542542056 0
24 1.1915557734285787 1.3289574323480893 0
25 1.1915557734285787 1.225806045122016 0
26 1.1915557734285787 1.1319956998928726 0
27 1.1915557734285787 1.252849561302391 0
28 1.1915557734285787 1.253760208813915 0
29 1.1915557734285787 1.1186637638526595 0
30 1.1915557734285787 1.2549012834716282 0
31 1.1915557734285787 1.260298775455565 0
32 1.1915557734285787 1.17804641335414 0
33 1.1915557734285787 1.2408380143072921 0
34 1.1915557734285787 1.2072267488723085 0
35 1.1915557734285787 1.3155136172080422 0
36 1.1915557734285787 1.0705113412122576 0
37 1.1915557734285787 1.1601392172601053 0
38 1.1915557734285787 1.264942442771509 0
39 1.1915557734285787 1.038773139505989 0
40 1.1915557734285787 1.3186303724198767 0
41 1.1915557734285787 1.2198078514437594 0
42 1.1915557734285787 1.1301547192742833 0
43 1.1915557734285787 1.3451543139422317 0
44 1.1915557734285787 1.081316331647184 0
45 1.1915557734285787 1.1194001836704484 0
46 1.1915557734285787 1.1431367191047848 0
47 1.1915557734285787 1.299446361641033 0
48 1.1915557734285787 1.2124461181126276 0
49 1.1915557734285787 1.122963847648949 0
50 1.1915557734285787 1.165519548885854 0
51 1.1915557734285787 1.1493721654853803 0
