x states switches
1 2 0
2 1 0
3 1 0
4 4 0
5 2 0
6 2 0
7 3 1
8 3 0
9 1 1
10 5 0
11 5 0
12 3 0
13 5 0
14 5 0
15 3 0
16 3 0
17 3 0
18 3 0
19 4 0
20 5 0
21 5 0
22 5 0
23 2 0
24 2 0
25 3 0
26 3 1
27 4 0
28 2 0
29 4 0
30 4 0
31 3 0
32 4 0
33 1 0
34 4 0
35 1 0
36 3 0
37 3 0
38 3 0
39 4 0
40 4 0
41 4 0
42 2 0
43 2 0
44 4 0
45 3 0
46 3 0
47 4 0
48 4 0
49 1 0
50 3 0
51 3 0
52 1 0
53 4 0
54 4 0
55 4 0
56 3 0
57 3 0
58 3 0
59 4 0
60 3 0
61 5 0
62 2 0
63 5 1
64 1 0
65 1 0
66 5 0
67 1 0
68 5 1
69 3 0
70 4 0
71 3 0
72 5 0
73 2 0
74 2 1
75 1 0
76 3 0
77 1 0
78 1 0
79 2 1
80 5 0
81 4 1
82 4 0
83 3 0
84 4 0
85 2 0
86 2 0
87 3 0
88 5 0
89 4 0
90 2 0
91 4 0
92 2 0
93 4 0
94 5 0
95 5 0
96 1 0
97 5 1
98 5 0
99 2 0
100 4 0
101 4 0
102 4 0
103 5 0
104 4 0
105 4 0
106 1 0
107 5 0
108 2 0
109 4 0
110 2 0
111 5 0
112 4 0
113 1 0
114 1 1
115 2 0
116 3 0
117 2 0
118 3 0
119 2 0
120 5 0
121 5 1
122 2 1
123 3 1
124 5 0
125 4 0
126 3 0
127 4 0
128 2 0
129 3 1
130 2 0
131 5 1
132 3 0
133 1 0
134 1 0
135 3 1
136 4 0
137 1 0
138 5 0
139 2 0
140 5 0
141 4 0
142 5 0
143 2 1
144 2 0
145 5 0
146 5 0
147 5 0
148 5 0
149 2 0
150 2 0
151 5 0
152 5 0
153 5 0
154 2 0
155 2 0
156 1 0
157 4 0
158 5 0
159 5 0
160 5 0
161 2 0
162 5 0
163 2 0
164 4 0
165 5 0
166 5 0
167 5 1
168 1 1
169 1 0
170 1 0
171 2 0
172 1 0
173 4 1
174 1 0
175 5 0
176 5 0
177 3 0
178 3 0
179 5 1
180 4 0
181 5 1
182 1 1
183 1 0
184 1 0
185 4 0
186 1 0
187 1 0
188 3 0
189 1 0
190 1 0
191 1 0
192 1 0
193 1 0
194 1 0
195 4 0
196 4 0
197 1 0
198 1 0
199 3 1
200 1 1
201 1 0
202 1 0
203 1 1
204 1 0
205 1 0
206 1 0
207 1 0
208 1 0
209 1 0
210 4 0
211 1 0
212 3 0
213 1 0
214 1 0
215 3 1
216 5 0
217 4 1
218 4 0
219 4 0
220 5 0
221 4 0
222 2 0
223 4 0
224 5 0
225 5 1
226 4 0
227 1 1
228 1 0
229 5 0
230 1 0
231 2 0
232 3 0
233 4 0
234 1 0
235 1 0
236 1 0
